id,ts_iso,epoch,src_ip,dst_ip,proto,sport,dport,length
1,2025-09-18T19:20:00Z,1758180575.6768608,192.168.1.50,142.250.72.14,TCP,54500,80,900
2,2025-09-18T19:20:02Z,1758180577.6768608,192.168.1.77,142.250.72.14,TCP,54510,443,860
3,2025-09-18T19:20:04Z,1758180579.6768608,192.168.1.50,8.8.8.8,UDP,5353,53,120
4,2025-09-18T19:20:06Z,1758180581.6768608,192.168.1.50,142.250.72.14,TCP,54511,81,700
5,2025-09-18T07:50:04Z,1758181804.947005,10.0.0.73,255.255.255.255,UDP,58612,6667,214
6,2025-09-18T07:50:05Z,1758181805.663883,10.0.0.142,224.0.0.251,UDP,5353,5353,183
7,2025-09-18T07:50:06Z,1758181806.27872,10.0.0.179,224.0.0.251,UDP,5353,5353,192
8,2025-09-18T07:50:06Z,1758181806.5291169,10.0.0.248,17.253.1.204,TCP,58914,80,78
9,2025-09-18T07:50:06Z,1758181806.5567622,17.253.1.204,10.0.0.248,TCP,80,58914,74
10,2025-09-18T07:50:06Z,1758181806.559811,10.0.0.248,17.253.1.204,TCP,58914,80,66
11,2025-09-18T07:50:06Z,1758181806.5614111,10.0.0.248,17.253.1.204,TCP,58914,80,210
12,2025-09-18T07:50:06Z,1758181806.5875041,17.253.1.204,10.0.0.248,TCP,80,58914,66
13,2025-09-18T07:50:06Z,1758181806.58976,17.253.1.204,10.0.0.248,TCP,80,58914,528
14,2025-09-18T07:50:06Z,1758181806.591927,10.0.0.248,17.253.1.204,TCP,58914,80,66
15,2025-09-18T07:50:06Z,1758181806.593791,10.0.0.248,17.253.1.204,TCP,58914,80,66
16,2025-09-18T07:50:06Z,1758181806.622998,17.253.1.204,10.0.0.248,TCP,80,58914,66
17,2025-09-18T07:50:06Z,1758181806.626747,10.0.0.248,17.253.1.204,TCP,58914,80,66
18,2025-09-18T07:50:06Z,1758181806.653208,10.0.0.248,142.251.32.46,TCP,58915,80,78
19,2025-09-18T07:50:06Z,1758181806.674477,142.251.32.46,10.0.0.248,TCP,80,58915,74
20,2025-09-18T07:50:06Z,1758181806.676718,10.0.0.248,142.251.32.46,TCP,58915,80,66
21,2025-09-18T07:50:06Z,1758181806.678665,10.0.0.248,142.251.32.46,TCP,58915,80,212
22,2025-09-18T07:50:06Z,1758181806.698106,142.251.32.46,10.0.0.248,TCP,80,58915,66
23,2025-09-18T07:50:06Z,1758181806.700468,142.251.32.46,10.0.0.248,TCP,80,58915,193
24,2025-09-18T07:50:06Z,1758181806.702427,10.0.0.248,142.251.32.46,TCP,58915,80,66
25,2025-09-18T07:50:06Z,1758181806.70413,10.0.0.248,142.251.32.46,TCP,58915,80,66
26,2025-09-18T07:50:06Z,1758181806.720576,142.251.32.46,10.0.0.248,TCP,80,58915,66
27,2025-09-18T07:50:06Z,1758181806.7232819,10.0.0.248,142.251.32.46,TCP,58915,80,66
28,2025-09-18T07:50:06Z,1758181806.745922,10.0.0.248,23.192.228.15,TCP,58916,80,78
29,2025-09-18T07:50:06Z,1758181806.775063,23.192.228.15,10.0.0.248,TCP,80,58916,74
30,2025-09-18T07:50:06Z,1758181806.77776,10.0.0.248,23.192.228.15,TCP,58916,80,66
31,2025-09-18T07:50:06Z,1758181806.7799108,10.0.0.248,23.192.228.15,TCP,58916,80,219
32,2025-09-18T07:50:06Z,1758181806.806729,23.192.228.15,10.0.0.248,TCP,80,58916,74
33,2025-09-18T07:50:06Z,1758181806.810099,10.0.0.248,23.192.228.15,TCP,58916,80,66
34,2025-09-18T07:50:06Z,1758181806.812454,23.192.228.15,10.0.0.248,TCP,80,58916,66
35,2025-09-18T07:50:06Z,1758181806.8143702,23.192.228.15,10.0.0.248,TCP,80,58916,258
36,2025-09-18T07:50:06Z,1758181806.8160949,10.0.0.248,23.192.228.15,TCP,58916,80,66
37,2025-09-18T07:50:06Z,1758181806.817193,10.0.0.248,23.192.228.15,TCP,58916,80,66
38,2025-09-18T07:50:06Z,1758181806.838654,23.192.228.15,10.0.0.248,TCP,80,58916,66
39,2025-09-18T07:50:06Z,1758181806.8408792,10.0.0.248,23.192.228.15,TCP,58916,80,66
40,2025-09-18T07:50:09Z,1758181809.9625542,10.0.0.73,255.255.255.255,UDP,58612,6667,214
41,2025-09-18T07:50:14Z,1758181814.980615,10.0.0.73,255.255.255.255,UDP,58612,6667,214
42,2025-09-18T07:50:17Z,1758181817.234271,34.227.36.214,10.0.0.248,TCP,443,56616,66
43,2025-09-18T07:50:17Z,1758181817.237715,10.0.0.248,34.227.36.214,TCP,56616,443,66
44,2025-09-18T07:50:19Z,1758181819.077002,10.0.0.243,224.0.0.251,UDP,5353,5353,103
45,2025-09-18T07:50:19Z,1758181819.9970298,10.0.0.73,255.255.255.255,UDP,58612,6667,214
46,2025-09-18T07:50:20Z,1758181820.100458,10.0.0.243,224.0.0.251,UDP,5353,5353,103
47,2025-09-18T07:50:25Z,1758181825.015794,10.0.0.73,255.255.255.255,UDP,58612,6667,214
48,2025-09-18T07:50:26Z,1758181826.1426141,10.0.0.142,224.0.0.251,UDP,5353,5353,100
49,2025-09-18T07:50:26Z,1758181826.238245,10.0.0.248,10.0.0.142,UDP,5353,5353,509
50,2025-09-18T07:50:26Z,1758181826.351518,10.0.0.243,224.0.0.251,UDP,5353,5353,490
51,2025-09-18T07:50:27Z,1758181827.167392,10.0.0.142,224.0.0.251,UDP,5353,5353,183
52,2025-09-18T07:50:30Z,1758181830.0338109,10.0.0.73,255.255.255.255,UDP,58612,6667,214
53,2025-09-18T07:50:32Z,1758181832.495341,34.227.36.214,10.0.0.248,TCP,443,56616,66
54,2025-09-18T07:50:32Z,1758181832.498553,10.0.0.248,34.227.36.214,TCP,56616,443,66
55,2025-09-18T07:50:35Z,1758181835.051324,10.0.0.73,255.255.255.255,UDP,58612,6667,214
56,2025-09-18T07:50:40Z,1758181840.07134,10.0.0.73,255.255.255.255,UDP,58612,6667,214
57,2025-09-18T07:50:45Z,1758181845.2916322,10.0.0.73,255.255.255.255,UDP,58612,6667,214
58,2025-09-18T07:50:47Z,1758181847.649624,34.227.36.214,10.0.0.248,TCP,443,56616,66
59,2025-09-18T07:50:47Z,1758181847.6535301,10.0.0.248,34.227.36.214,TCP,56616,443,66
60,2025-09-18T07:50:50Z,1758181850.104618,10.0.0.73,255.255.255.255,UDP,58612,6667,214
61,2025-09-18T07:50:50Z,1758181850.108406,10.0.0.243,224.0.0.251,UDP,5353,5353,103
62,2025-09-18T07:50:51Z,1758181851.128472,10.0.0.243,224.0.0.251,UDP,5353,5353,103
63,2025-09-18T07:50:55Z,1758181855.224833,10.0.0.73,255.255.255.255,UDP,58612,6667,214
64,2025-09-18T07:51:00Z,1758181860.140329,10.0.0.73,255.255.255.255,UDP,58612,6667,214
65,2025-09-18T07:51:02Z,1758181862.8045492,34.227.36.214,10.0.0.248,TCP,443,56616,66
66,2025-09-18T07:51:02Z,1758181862.8081422,10.0.0.248,34.227.36.214,TCP,56616,443,66
67,2025-09-18T07:51:05Z,1758181865.1579342,10.0.0.73,255.255.255.255,UDP,58612,6667,214
68,2025-09-18T07:51:20Z,1758181880.109521,10.0.0.73,255.255.255.255,UDP,58612,6667,214
69,2025-09-18T07:51:20Z,1758181880.17205,10.0.0.248,17.253.1.204,TCP,58920,80,78
70,2025-09-18T07:51:20Z,1758181880.2007139,17.253.1.204,10.0.0.248,TCP,80,58920,74
71,2025-09-18T07:51:20Z,1758181880.2038898,10.0.0.248,17.253.1.204,TCP,58920,80,66
72,2025-09-18T07:51:20Z,1758181880.206507,10.0.0.248,17.253.1.204,TCP,58920,80,210
73,2025-09-18T07:51:20Z,1758181880.225109,17.253.1.204,10.0.0.248,TCP,80,58920,66
74,2025-09-18T07:51:20Z,1758181880.2280269,17.253.1.204,10.0.0.248,TCP,80,58920,527
75,2025-09-18T07:51:20Z,1758181880.230172,10.0.0.248,17.253.1.204,TCP,58920,80,66
76,2025-09-18T07:51:20Z,1758181880.2325509,10.0.0.248,17.253.1.204,TCP,58920,80,66
77,2025-09-18T07:51:20Z,1758181880.255093,17.253.1.204,10.0.0.248,TCP,80,58920,66
78,2025-09-18T07:51:20Z,1758181880.257779,10.0.0.248,17.253.1.204,TCP,58920,80,66
79,2025-09-18T07:51:20Z,1758181880.260227,10.0.0.248,142.251.46.174,TCP,58921,80,78
80,2025-09-18T07:51:20Z,1758181880.280205,142.251.46.174,10.0.0.248,TCP,80,58921,74
81,2025-09-18T07:51:20Z,1758181880.282808,10.0.0.248,142.251.46.174,TCP,58921,80,66
82,2025-09-18T07:51:20Z,1758181880.28477,10.0.0.248,142.251.46.174,TCP,58921,80,212
83,2025-09-18T07:51:20Z,1758181880.301565,142.251.46.174,10.0.0.248,TCP,80,58921,66
84,2025-09-18T07:51:20Z,1758181880.3040168,142.251.46.174,10.0.0.248,TCP,80,58921,193
85,2025-09-18T07:51:20Z,1758181880.305933,10.0.0.248,142.251.46.174,TCP,58921,80,66
86,2025-09-18T07:51:20Z,1758181880.307692,10.0.0.248,142.251.46.174,TCP,58921,80,66
87,2025-09-18T07:51:20Z,1758181880.322997,142.251.46.174,10.0.0.248,TCP,80,58921,66
88,2025-09-18T07:51:20Z,1758181880.325808,10.0.0.248,142.251.46.174,TCP,58921,80,66
89,2025-09-18T07:51:20Z,1758181880.327842,10.0.0.248,23.192.228.15,TCP,58922,80,78
90,2025-09-18T07:51:20Z,1758181880.345383,23.192.228.15,10.0.0.248,TCP,80,58922,74
91,2025-09-18T07:51:20Z,1758181880.347466,10.0.0.248,23.192.228.15,TCP,58922,80,66
92,2025-09-18T07:51:20Z,1758181880.349282,10.0.0.248,23.192.228.15,TCP,58922,80,219
93,2025-09-18T07:51:20Z,1758181880.366912,23.192.228.15,10.0.0.248,TCP,80,58922,66
94,2025-09-18T07:51:20Z,1758181880.3692899,23.192.228.15,10.0.0.248,TCP,80,58922,258
95,2025-09-18T07:51:20Z,1758181880.371063,10.0.0.248,23.192.228.15,TCP,58922,80,66
96,2025-09-18T07:51:20Z,1758181880.372593,10.0.0.248,23.192.228.15,TCP,58922,80,66
97,2025-09-18T07:51:20Z,1758181880.391139,23.192.228.15,10.0.0.248,TCP,80,58922,66
98,2025-09-18T07:51:20Z,1758181880.393866,10.0.0.248,23.192.228.15,TCP,58922,80,66
99,2025-09-18T07:51:21Z,1758181881.2368882,10.0.0.243,224.0.0.251,UDP,5353,5353,103
100,2025-09-18T07:51:22Z,1758181882.056692,10.0.0.243,224.0.0.251,UDP,5353,5353,103
101,2025-09-18T07:51:23Z,1758181883.2845562,10.0.0.193,224.0.0.251,UDP,5353,5353,100
102,2025-09-18T07:51:23Z,1758181883.311019,10.0.0.248,10.0.0.193,UDP,5353,5353,509
103,2025-09-18T07:51:23Z,1758181883.69398,10.0.0.193,224.0.0.251,UDP,5353,5353,183
104,2025-09-18T07:51:25Z,1758181885.128636,10.0.0.73,255.255.255.255,UDP,58612,6667,214
105,2025-09-18T07:51:26Z,1758181886.7670631,10.0.0.193,224.0.0.251,UDP,5353,5353,183
106,2025-09-18T07:51:27Z,1758181887.482181,10.0.0.179,224.0.0.251,UDP,5353,5353,192
107,2025-09-18T07:51:30Z,1758181890.143501,10.0.0.73,255.255.255.255,UDP,58612,6667,214
108,2025-09-18T07:51:33Z,1758181893.217206,34.227.36.214,10.0.0.248,TCP,443,56616,66
109,2025-09-18T07:51:33Z,1758181893.220781,10.0.0.248,34.227.36.214,TCP,56616,443,66
110,2025-09-18T07:51:34Z,1758181894.754379,54.158.80.202,10.0.0.248,TCP,443,56619,604
111,2025-09-18T07:51:34Z,1758181894.756373,10.0.0.248,54.158.80.202,TCP,56619,443,66
112,2025-09-18T07:51:35Z,1758181895.1612558,10.0.0.73,255.255.255.255,UDP,58612,6667,214
113,2025-09-18T07:54:15Z,1758182055.2459369,10.0.0.248,224.0.0.251,UDP,5353,5353,265
114,2025-09-18T07:54:15Z,1758182055.422508,10.0.0.73,255.255.255.255,UDP,58612,6667,214
115,2025-09-18T07:54:16Z,1758182056.728346,10.0.0.248,17.253.1.204,TCP,59048,80,78
116,2025-09-18T07:54:16Z,1758182056.7624588,17.253.1.204,10.0.0.248,TCP,80,59048,74
117,2025-09-18T07:54:16Z,1758182056.765774,10.0.0.248,17.253.1.204,TCP,59048,80,66
118,2025-09-18T07:54:16Z,1758182056.768707,10.0.0.248,17.253.1.204,TCP,59048,80,210
119,2025-09-18T07:54:16Z,1758182056.791638,17.253.1.204,10.0.0.248,TCP,80,59048,66
120,2025-09-18T07:54:16Z,1758182056.7952452,17.253.1.204,10.0.0.248,TCP,80,59048,527
121,2025-09-18T07:54:16Z,1758182056.797486,10.0.0.248,17.253.1.204,TCP,59048,80,66
122,2025-09-18T07:54:16Z,1758182056.80026,10.0.0.248,17.253.1.204,TCP,59048,80,66
123,2025-09-18T07:54:16Z,1758182056.829746,17.253.1.204,10.0.0.248,TCP,80,59048,66
124,2025-09-18T07:54:16Z,1758182056.833162,10.0.0.248,17.253.1.204,TCP,59048,80,66
125,2025-09-18T07:54:16Z,1758182056.861822,10.0.0.248,142.251.46.238,TCP,59049,80,78
126,2025-09-18T07:54:16Z,1758182056.884939,142.251.46.238,10.0.0.248,TCP,80,59049,74
127,2025-09-18T07:54:16Z,1758182056.887552,10.0.0.248,142.251.46.238,TCP,59049,80,66
128,2025-09-18T07:54:16Z,1758182056.889628,10.0.0.248,142.251.46.238,TCP,59049,80,212
129,2025-09-18T07:54:16Z,1758182056.905866,142.251.46.238,10.0.0.248,TCP,80,59049,66
130,2025-09-18T07:54:16Z,1758182056.9087338,142.251.46.238,10.0.0.248,TCP,80,59049,193
131,2025-09-18T07:54:16Z,1758182056.910756,10.0.0.248,142.251.46.238,TCP,59049,80,66
132,2025-09-18T07:54:16Z,1758182056.9125068,10.0.0.248,142.251.46.238,TCP,59049,80,66
133,2025-09-18T07:54:16Z,1758182056.9321952,142.251.46.238,10.0.0.248,TCP,80,59049,66
134,2025-09-18T07:54:16Z,1758182056.935068,10.0.0.248,142.251.46.238,TCP,59049,80,66
135,2025-09-18T07:54:16Z,1758182056.960407,10.0.0.248,23.192.228.15,TCP,59050,80,78
136,2025-09-18T07:54:16Z,1758182056.990418,23.192.228.15,10.0.0.248,TCP,80,59050,74
137,2025-09-18T07:54:16Z,1758182056.993731,10.0.0.248,23.192.228.15,TCP,59050,80,66
138,2025-09-18T07:54:16Z,1758182056.9960651,10.0.0.248,23.192.228.15,TCP,59050,80,219
139,2025-09-18T07:54:17Z,1758182057.013055,23.192.228.15,10.0.0.248,TCP,80,59050,74
140,2025-09-18T07:54:17Z,1758182057.015973,10.0.0.248,23.192.228.15,TCP,59050,80,66
141,2025-09-18T07:54:17Z,1758182057.0196779,23.192.228.15,10.0.0.248,TCP,80,59050,66
142,2025-09-18T07:54:17Z,1758182057.022239,23.192.228.15,10.0.0.248,TCP,80,59050,258
143,2025-09-18T07:54:17Z,1758182057.0240908,10.0.0.248,23.192.228.15,TCP,59050,80,66
144,2025-09-18T07:54:17Z,1758182057.0265758,10.0.0.248,23.192.228.15,TCP,59050,80,66
145,2025-09-18T07:54:17Z,1758182057.0662332,23.192.228.15,10.0.0.248,TCP,80,59050,66
146,2025-09-18T07:54:17Z,1758182057.069653,10.0.0.248,23.192.228.15,TCP,59050,80,66
147,2025-09-18T07:54:19Z,1758182059.8603299,34.227.36.214,10.0.0.248,TCP,443,56616,66
148,2025-09-18T07:54:19Z,1758182059.863639,10.0.0.248,34.227.36.214,TCP,56616,443,66
149,2025-09-18T07:54:20Z,1758182060.33675,10.0.0.73,255.255.255.255,UDP,58612,6667,214
150,2025-09-18T07:54:27Z,1758182067.096014,10.0.0.243,224.0.0.251,UDP,5353,5353,103
151,2025-09-18T07:54:28Z,1758182068.120367,10.0.0.243,224.0.0.251,UDP,5353,5353,103
152,2025-09-18T07:54:30Z,1758182070.3746219,10.0.0.73,255.255.255.255,UDP,58612,6667,214
153,2025-09-18T07:54:34Z,1758182074.9473338,34.227.36.214,10.0.0.248,TCP,443,56616,66
154,2025-09-18T07:54:34Z,1758182074.949151,10.0.0.248,34.227.36.214,TCP,56616,443,66
155,2025-09-18T07:54:35Z,1758182075.391101,10.0.0.73,255.255.255.255,UDP,58612,6667,214
156,2025-09-18T07:54:40Z,1758182080.407326,10.0.0.73,255.255.255.255,UDP,58612,6667,214
157,2025-09-18T07:54:42Z,1758182082.559645,10.0.0.142,224.0.0.251,UDP,5353,5353,100
158,2025-09-18T07:54:42Z,1758182082.596127,10.0.0.248,10.0.0.142,UDP,5353,5353,509
159,2025-09-18T07:54:43Z,1758182083.584686,10.0.0.142,224.0.0.251,UDP,5353,5353,183
160,2025-09-18T07:54:45Z,1758182085.4291399,10.0.0.73,255.255.255.255,UDP,58612,6667,214
